8;2;18;16
15;9;7;6
28;3;2;6
14;15;33;2
13;27;15;29
18;1;11;28
22;18;10;14
22;7;6;25
7;23;23;17
3;30;8;25
6;19;24;13
5;3;15;19
6;15;7;25
18;30;24;11
24;23;14;18
5;11;16;43
30;25;18;47
21;4;15;35
21;26;18;37
14;21;14;64
26;30;10;49
9;16;17;60
26;24;15;41
33;32;6;36
8;10;11;60
5;25;25;62
17;1;8;50
22;8;19;60
11;30;1;49
33;12;33;39
20;33;13;84
24;11;1;106
32;2;8;111
20;16;4;95
6;6;32;73
9;9;31;86
17;28;14;90
20;26;24;121
29;8;16;93
5;22;2;94
15;1;5;72
15;5;3;107
5;33;16;100
32;14;9;125
16;31;27;89
7;7;28;219
28;27;30;142
7;4;26;215
7;16;13;177
29;9;28;175
18;30;16;148
29;7;4;132
6;16;11;233
32;31;14;231
4;11;25;129
25;17;30;202
28;32;10;177
19;14;4;144
21;4;4;251
33;11;4;149
12;5;5;377
26;8;16;277
6;27;21;390
14;21;16;392
26;9;20;491
21;5;1;491
7;5;14;392
9;23;5;382
24;19;11;481
20;1;20;310
9;17;8;311
10;18;19;364
22;14;17;507
17;4;6;473
18;3;1;427
9;17;11;965
28;1;8;590
10;3;24;664
28;9;3;828
24;3;23;728
16;7;23;929
10;16;11;694
27;2;12;853
27;16;18;676
7;25;3;994
15;13;30;871
20;15;15;537
13;26;22;798
5;18;23;922
22;2;8;780
12;17;35;7
28;23;53;28
33;8;57;13
17;3;60;1
13;24;60;5
22;21;40;20
33;20;59;21
26;19;41;13
27;25;44;20
26;1;52;19
14;28;53;30
29;29;46;33
31;11;38;19
33;22;38;16
20;15;45;10
2;3;48;63
5;30;59;45
25;32;58;48
10;1;39;60
15;12;62;36
16;8;62;41
30;21;61;65
28;29;43;63
29;17;48;50
32;16;50;61
5;19;48;50
22;21;38;41
10;15;57;42
14;5;59;59
22;30;59;36
14;27;57;67
25;31;33;110
20;25;59;93
32;15;50;120
32;2;57;108
26;11;62;81
2;26;34;75
28;9;62;88
4;17;57;106
14;30;53;108
25;18;59;97
6;31;34;71
23;15;37;70
2;16;45;67
10;16;41;125
8;14;62;194
24;11;40;170
20;7;34;208
25;26;45;148
16;7;52;159
3;23;60;223
5;33;54;132
27;32;39;239
24;30;42;240
12;18;63;248
28;18;53;191
6;18;61;191
30;25;54;136
32;21;44;253
14;23;49;216
18;18;33;354
6;16;59;507
16;31;64;486
2;6;51;370
26;16;52;445
31;23;60;426
23;30;50;413
17;15;40;355
21;8;44;355
14;31;50;401
7;13;51;373
24;12;52;264
9;18;35;284
19;9;64;309
1;19;63;502
29;22;44;565
17;31;40;579
26;32;37;567
10;10;52;600
16;8;59;744
25;29;61;817
28;20;36;614
14;14;49;596
11;16;44;589
11;1;59;974
31;19;35;750
19;19;62;585
15;17;45;948
8;15;42;785
10;5;36;682
20;19;121;8
30;20;116;18
33;32;121;6
3;28;106;17
2;6;94;2
18;3;87;31
29;18;88;28
32;6;125;23
27;22;106;7
11;22;117;32
19;26;69;30
6;21;97;21
8;26;65;30
27;4;89;24
32;29;71;14
18;9;101;61
32;8;68;48
11;20;66;59
6;15;79;62
8;10;128;51
33;18;118;63
31;16;123;42
25;13;82;37
18;27;108;65
18;1;101;52
32;10;122;63
23;22;113;62
21;13;95;57
15;27;70;53
31;25;114;42
32;3;81;129
22;7;121;77
30;1;83;117
10;5;125;98
22;26;75;107
25;21;127;69
5;16;101;94
6;28;77;77
29;11;103;68
3;21;72;102
23;24;120;83
16;27;88;86
12;6;113;95
32;10;94;124
17;30;97;66
30;19;85;147
29;23;103;237
17;30;103;179
25;31;78;189
25;23;102;204
2;26;100;131
4;32;101;187
23;15;89;193
9;7;70;208
29;3;111;162
6;19;106;235
12;13;81;222
33;18;86;194
31;19;108;158
30;5;83;186
26;24;76;459
1;17;80;489
24;17;113;447
7;15;125;269
21;15;73;494
20;27;79;328
3;3;103;509
8;7;95;326
25;30;112;471
10;27;77;507
27;18;69;446
14;29;121;377
24;7;112;440
4;26;100;354
8;30;76;365
2;4;107;762
9;14;73;725
14;15;107;664
1;18;83;646
17;12;79;539
9;1;110;756
21;2;87;784
4;9;118;629
5;31;122;883
33;7;122;739
3;20;123;544
4;31;116;949
7;32;121;588
6;21;83;580
9;18;106;903
19;30;239;7
8;14;239;29
15;27;215;30
26;27;153;21
28;21;194;24
10;31;146;6
6;6;239;7
24;9;144;22
8;27;219;28
4;19;208;23
7;33;183;10
31;15;156;23
24;8;200;15
28;2;197;2
12;18;208;22
23;1;175;42
26;5;165;34
6;14;225;59
30;22;169;56
20;21;150;36
10;11;141;38
18;29;237;64
29;27;198;46
33;8;217;60
8;19;253;52
3;15;230;36
1;14;206;46
9;17;203;53
8;1;256;60
12;9;226;47
33;23;147;115
3;28;133;123
5;21;238;116
27;19;158;116
2;21;172;123
24;6;240;78
16;28;231;75
26;20;215;93
22;11;148;79
33;13;218;109
10;16;155;83
17;13;173;84
5;12;255;124
29;21;209;84
29;5;249;121
20;18;143;219
33;5;208;247
29;3;143;223
19;5;152;227
30;3;244;177
21;31;257;167
4;29;155;216
6;33;173;139
16;29;241;169
24;24;201;228
27;22;142;214
5;22;153;227
19;17;167;214
6;10;218;208
26;9;150;208
25;22;161;304
28;33;221;266
24;20;175;366
22;32;178;372
9;10;148;408
7;33;138;429
9;25;168;340
12;11;241;279
27;24;189;484
19;29;188;379
20;31;178;445
29;30;201;452
33;27;170;359
9;17;142;503
24;7;160;402
6;11;198;973
33;10;240;606
15;29;218;540
27;4;230;895
16;25;149;896
15;2;210;614
22;10;164;552
19;31;164;993
29;1;149;532
17;14;167;946
8;19;189;821
8;4;190;942
30;5;157;1024
2;33;190;660
19;28;129;874
16;27;352;6
24;5;267;25
31;3;455;24
17;2;439;5
23;16;310;22
9;3;437;22
12;30;502;12
9;5;491;3
19;13;279;13
3;21;415;33
26;31;386;3
13;19;439;4
22;18;320;24
28;26;482;25
22;12;511;32
24;18;299;60
6;28;349;51
21;7;297;53
19;20;485;60
11;29;436;61
3;23;479;50
4;5;464;56
33;11;272;42
29;3;321;37
16;24;442;57
3;10;487;56
24;29;296;41
24;26;417;50
16;8;270;44
32;25;317;49
17;29;366;101
32;13;319;82
5;29;345;121
6;21;434;73
19;20;337;87
24;33;371;80
13;9;378;128
2;24;445;124
9;6;290;104
26;31;467;117
5;9;419;74
29;30;433;81
12;9;478;129
4;8;335;103
11;11;422;93
23;19;297;193
13;18;321;206
6;33;343;168
11;22;278;136
6;3;392;182
27;2;511;203
20;31;382;232
20;30;294;144
11;29;469;252
30;14;431;165
21;21;433;231
9;24;311;210
16;30;319;197
29;16;329;153
4;19;453;236
16;11;424;417
13;11;512;496
32;20;511;268
6;26;491;380
14;23;281;282
19;32;497;403
1;7;477;325
17;24;463;444
3;26;283;356
24;19;294;454
33;29;400;317
9;7;458;448
22;24;330;358
33;26;513;277
3;3;327;427
31;30;333;656
21;21;340;915
20;22;507;819
31;2;445;852
8;27;414;540
31;17;373;565
31;11;451;664
16;3;313;708
2;29;417;941
10;27;361;933
33;31;288;654
14;21;501;898
21;12;492;863
23;17;504;709
16;18;409;743
20;19;725;32
21;31;870;18
19;8;901;26
23;10;810;3
19;6;867;29
17;31;732;13
18;18;653;7
16;16;564;15
15;4;615;27
22;31;615;9
1;11;929;31
31;13;807;21
